video_id,positive,negative,neutral,score,likeCount,comment_count,category_Autos & Vehicles,category_Comedy,category_Education,category_Entertainment,category_Film & Animation,category_Gaming,category_Howto & Style,category_Music,category_News & Politics,category_Nonprofits & Activism,category_People & Blogs,category_Pets & Animals,category_Science & Technology,category_Sports,category_Travel & Events,cluster
3tLMuiu7tWc,0.8495575221238938,0.02654867256637168,0.12389380530973451,0.8982542099115044,356,113,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,5
3zF2ZwLU_eI,0.12631578947368421,0.48947368421052634,0.38421052631578945,0.6920768411421052,19,190,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0
42SSxQy61Zc,0.24761904761904763,0.0380952380952381,0.7142857142857143,0.7709888920761905,8,105,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,3
49zasZugNlg,0.6382978723404256,0.05319148936170213,0.30851063829787234,0.8660469318404255,247,94,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,11
4WDmP0L_z9U,0.0,0.0,1.0,0.749845445,0,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,12
4ytoM4ob2Dg,0.09202453987730061,0.5521472392638037,0.3558282208588957,0.7449758809570552,35,163,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,2
5HYPRF8ZPqQ,0.15286624203821655,0.4012738853503185,0.445859872611465,0.7232852276178344,12,157,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,2
5MWc0KctWF4,0.4588235294117647,0.16470588235294117,0.3764705882352941,0.7510608325882353,244,85,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0
5MZEe2-8vKQ,0.17073170731707318,0.5060975609756098,0.3231707317073171,0.7166887185426829,3848,164,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
5fKkXFresYI,0.34523809523809523,0.20238095238095238,0.4523809523809524,0.7008472707678571,16,168,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
5gSC-UQHefY,0.3958333333333333,0.22916666666666666,0.375,0.7031933380000001,784,48,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,2
5lk8IRDsnOs,0.23423423423423423,0.27927927927927926,0.4864864864864865,0.7200588849819819,49,111,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,2
5rtUBGbhVpg,0.27184466019417475,0.13592233009708737,0.5922330097087378,0.7429989364951456,49,103,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,4
5sltyRKi0sQ,0.11194029850746269,0.4552238805970149,0.43283582089552236,0.7061303233432836,34,134,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,11
5upVC6YzQCE,0.19186046511627908,0.23255813953488372,0.5755813953488372,0.6934428568662792,8472,172,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
65_lgEQlxCs,0.30718954248366015,0.20261437908496732,0.49019607843137253,0.7736398246405228,215,153,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,2
69lvD0Myk6Y,0.0,0.3333333333333333,0.6666666666666666,0.5880529483333333,2,3,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,6
6B9FiV79qfg,0.38181818181818183,0.13636363636363635,0.4818181818181818,0.7977561403181819,19,110,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0
6QL0c5BbCR4,0.14534883720930233,0.5406976744186046,0.313953488372093,0.7422789749244185,193,172,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,11
6Z5CEE25QH8,0.8415841584158416,0.0,0.15841584158415842,0.8946092281980198,6812,101,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,5
6ZgG7cuEMm0,0.16176470588235295,0.14705882352941177,0.6911764705882353,0.7084971201323529,3315,68,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,4
6cUxgcKD1zk,0.23076923076923078,0.22377622377622378,0.5454545454545454,0.7363705001538462,16,143,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,11
6ngdKVfrecc,0.32142857142857145,0.21428571428571427,0.4642857142857143,0.7242301020928571,29,140,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0
7-JpPgXzia4,0.9090909090909091,0.0,0.09090909090909091,0.9084671590909091,258,66,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,5
7KVvmMv22oI,0.5984848484848485,0.09848484848484848,0.30303030303030304,0.7783406747045455,1777,132,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,8
7NwNp-XGbGU,0.09821428571428571,0.24107142857142858,0.6607142857142857,0.7304296030446429,4473,112,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,2
7SaA8vpTRi0,0.20155038759689922,0.20155038759689922,0.5968992248062015,0.7156691036124031,2766,129,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,3
7djQsPAGIxc,0.7523809523809524,0.06666666666666667,0.18095238095238095,0.8549420748571429,80,105,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,5
7kyHvPNbugk,0.44805194805194803,0.2922077922077922,0.24675324675324675,0.8166345573571429,2463,154,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,5
7mnrxufqC5M,0.3712574850299401,0.38922155688622756,0.23952095808383234,0.7833749184371257,10,167,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,2
7uFrtqSwYzM,0.125,0.3958333333333333,0.4791666666666667,0.6864943088333333,54,48,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
8I7A-aJ0Ne8,0.15384615384615385,0.3668639053254438,0.47928994082840237,0.6885921143846153,19,169,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,4
8JpNp5L3MG8,0.17647058823529413,0.5126050420168067,0.31092436974789917,0.7388683387058823,97,119,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,2
8LsGS8fe7fE,0.25,0.3048780487804878,0.4451219512195122,0.7348539045914634,80,164,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,2
8Rx0YvNMwrY,0.13934426229508196,0.13114754098360656,0.7295081967213115,0.6683896154672131,8,122,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,4
8VKnI2h6180,0.1744186046511628,0.27325581395348836,0.5523255813953488,0.715001194872093,32,172,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0
8ZwhtDXhzUc,0.46153846153846156,0.13846153846153847,0.4,0.7992735876307692,2941,130,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,3
8cU0SwGI1J8,0.6,0.09523809523809523,0.3047619047619048,0.8206977988952381,24,105,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,5
8pq9DqfAAM4,0.3125,0.1597222222222222,0.5277777777777778,0.7562844899930555,722,144,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,9
93iYl0f4mzc,0.10471204188481675,0.6544502617801047,0.24083769633507854,0.7424312121465968,108,191,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,7
9EN-gcytgNg,0.11049723756906077,0.4972375690607735,0.39226519337016574,0.6775746503425414,17,181,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,3
9MOXzxoaWio,0.2,0.3,0.5,0.769216728,167,10,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,2
9Me-OzXuSMo,0.3710691823899371,0.1949685534591195,0.4339622641509434,0.729717103918239,61,159,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,2
9Synr6Pz6Ms,0.24848484848484848,0.1696969696969697,0.5818181818181818,0.7752617732909091,3860,165,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,3
9UMT-_V_UdA,0.6470588235294118,0.10784313725490197,0.24509803921568626,0.7666624848921568,102,102,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,11
9bv0rBDxVrY,0.21153846153846154,0.2692307692307692,0.5192307692307693,0.7207181258750001,52,104,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,4
9cbra1nOvzE,0.2777777777777778,0.3333333333333333,0.3888888888888889,0.7814388409444445,51,18,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,8
9hkpK0Rr7oo,0.3170731707317073,0.18699186991869918,0.4959349593495935,0.7382155959918699,13,123,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,5
9iw8AZaMn8o,0.12698412698412698,0.46825396825396826,0.40476190476190477,0.7544696650396826,15,126,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,11
A2_O5ZQJYMk,0.7664233576642335,0.12408759124087591,0.10948905109489052,0.8584116094671533,263,137,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,5
AFmRzGnkmvg,0.0,0.0,1.0,0.88937223,0,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,12
AIu35lnYHGk,0.0,0.5,0.5,0.6986377539999999,0,2,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
Aa3k3pKM728,0.12,0.57,0.31,0.78123404947,199,100,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,3
Ab3mkNFdujs,0.2073170731707317,0.3353658536585366,0.4573170731707317,0.706579592542683,7641,164,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,8
AllDUtZJpj8,0.1941747572815534,0.3300970873786408,0.47572815533980584,0.7404269188834951,1126,103,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,3
AsztwWYUA8A,0.7619047619047619,0.061224489795918366,0.17687074829931973,0.8825150199863945,19,147,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,5
AvP83jA-1nU,0.3333333333333333,0.16666666666666666,0.5,0.7880813230833333,34,12,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0
B-8fnn-aRuQ,0.2831858407079646,0.22123893805309736,0.49557522123893805,0.7455081155840708,219,113,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0
B2L_RscvTfo,0.6857142857142857,0.0,0.3142857142857143,0.8418798980952381,184,105,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,5
B2UOucuMlyg,0.2037037037037037,0.5092592592592593,0.28703703703703703,0.7255914630277778,12,108,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,2
B6N00d0hQ8M,0.4158415841584158,0.18811881188118812,0.39603960396039606,0.7734089909999999,84237,101,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,12
BGG7UWZ1YTw,0.23809523809523808,0.27380952380952384,0.4880952380952381,0.7600552611607143,2,168,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,9
BJlIDQi80IU,0.312,0.184,0.504,0.765204272256,6,125,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,5
BKhmVOUFYXw,0.3333333333333333,0.2937853107344633,0.3728813559322034,0.7302815852033898,68,177,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,9
